序号,代码,名称,占净值%,最新价,总市值(亿),涨幅%,市盈率,换手率%
1,603259.SH,药明康德,11.15,102.13,2525.96,-1.90,16.38,1.28
2,300760.SZ,迈瑞医疗,8.53,154.00,1867.16,0.56,20.04,0.79
3,688271.SH,联影医疗,6.98,122.01,1005.56,3.57,63.03,1.48
4,300015.SZ,爱尔眼科,5.54,9.18,856.07,1.21,18.13,1.04
5,300759.SZ,康龙化成,3.59,25.37,374.79,-0.51,34.75,1.44
6,300347.SZ,泰格医药,3.45,39.47,291.25,-3.43,173.24,3.20
7,300677.SZ,英科医疗,3.39,44.45,291.04,-2.78,725.37,2.49
8,002432.SZ,九安医疗,3.09,84.05,390.93,-8.22,33.29,6.38
9,002821.SZ,凯莱英,2.84,119.60,398.32,-3.15,35.46,1.74
10,002223.SZ,鱼跃医疗,2.62,27.48,275.48,-0.11,16.08,1.00
11,300003.SZ,乐普医疗,2.61,12.56,231.53,-1.02,23.45,1.04
12,688617.SH,惠泰医疗,2.54,219.58,309.70,-0.69,33.75,0.76
13,300832.SZ,新产业,2.48,47.35,372.04,1.78,21.04,0.76
14,300896.SZ,爱美客,2.27,102.46,310.04,0.52,25.99,1.68
15,002044.SZ,美年健康,2.21,5.47,214.11,-2.32,-20.99,2.23
16,300049.SZ,福瑞医科,1.98,46.19,122.39,-7.16,96.24,3.79
17,603127.SH,昭衍新药,1.91,35.90,226.30,-4.22,28.22,5.57
18,300253.SZ,卫宁健康,1.86,8.09,178.08,-3.46,317.31,2.28
19,688301.SH,奕瑞科技,1.63,192.71,407.48,4.81,56.99,4.07
20,600763.SH,通策医疗,1.60,36.95,165.27,1.51,22.11,1.84
21,688114.SH,华大智造,1.58,52.14,217.17,-2.41,-51.62,0.83
22,600529.SH,山东药玻,1.56,18.71,124.16,-1.11,15.43,1.84
23,600645.SH,中源协和,1.50,20.14,94.24,-2.61,97.18,1.35
24,300676.SZ,华大基因,1.43,36.75,153.73,-2.70,-403.69,1.18
25,688131.SH,皓元医药,1.23,77.94,165.31,-1.08,60.92,2.21
26,301293.SZ,三博脑科,1.22,60.55,124.73,-2.32,207.40,2.04
27,603456.SH,九洲药业,1.14,12.73,113.23,-0.78,16.45,1.15
28,300529.SZ,健帆生物,1.06,18.06,144.23,-1.63,16.35,0.82
29,300888.SZ,稳健医疗,0.97,29.42,171.32,-1.90,17.03,0.43
30,688029.SH,南微医学,0.94,79.39,149.13,-0.38,25.46,0.64
31,300595.SZ,欧普康视,0.94,12.10,108.33,-0.90,18.53,1.23
32,688050.SH,爱博医疗,0.94,43.02,83.20,-2.00,23.30,1.62
33,688363.SH,华熙生物,0.92,36.72,176.87,-0.33,68.39,0.75
34,603882.SH,金域医学,0.90,26.10,120.91,-0.50,70.64,0.84
35,688068.SH,热景生物,0.89,85.51,79.31,-0.65,-29.13,1.16
36,300363.SZ,博腾股份,0.86,14.68,79.78,-2.85,71.57,1.81
37,688016.SH,心脉医疗,0.84,104.19,128.43,2.05,20.74,1.57
38,688289.SH,圣湘生物,0.83,16.70,96.76,-4.84,48.63,1.06
39,600055.SH,万东医疗,0.80,12.76,89.71,-3.04,-140.75,0.85
40,603658.SH,安图生物,0.76,32.78,187.31,-0.76,19.80,0.33
41,920982.SZ,锦波生物,0.75,156.77,180.39,1.44,32.11,1.21
42,300633.SZ,开立医疗,0.70,21.13,91.43,-2.13,-196.89,1.22
43,688139.SH,海尔生物,0.65,33.74,106.78,-5.20,33.60,2.56
44,300298.SZ,三诺生物,0.64,15.71,88.02,-2.12,22.53,0.91
45,300482.SZ,万孚生物,0.63,18.14,84.91,-2.89,25.15,1.32
46,301363.SZ,美好医疗,0.57,26.16,148.82,-3.93,65.63,1.69
47,301267.SZ,华厦眼科,0.53,17.38,145.99,-1.92,21.26,0.68
48,002901.SZ,大博医疗,0.53,41.22,170.66,-1.39,29.11,0.48
49,603014.SH,威高血净,0.29,34.63,144.67,0.87,30.57,1.41
50,301602.SZ,超研股份,0.21,16.72,71.62,-2.79,196.43,0.67
51,688802.SH,沐曦股份,0.01,690.00,2760.69,-6.14,-698.26,10.17
52,688759.SH,必贝特,0.00,36.38,163.72,-3.60,-77.62,6.31
53,688790.SH,昂瑞微,0.00,143.92,143.25,-2.29,-53.35,5.24
54,001280.SZ,中国铀业,0.00,73.21,1514.12,-3.65,176.81,3.45
55,301683.SZ,慧谷新材,0.00,130.36,82.28,0.47,33.61,14.61
