公告日期,机构持有比例,个人持有比例,内部持有比例,总份额(亿份)
2025-12-31,36.43,61.69,1.88,470.35
2025-06-30,25.24,73.22,1.54,262.70
2024-12-31,15.38,82.76,1.86,242.57
2024-06-30,21.70,77.42,0.88,382.74
2023-12-31,31.20,67.77,1.03,360.09
2023-06-30,28.58,70.58,0.84,374.88
2022-12-31,26.40,72.56,1.04,341.95
2022-06-30,31.27,67.80,0.93,335.00
2021-12-31,35.09,64.49,0.43,305.09
2021-06-30,16.04,83.88,0.07,289.04
2020-12-31,21.13,78.87,0.00,318.34
2020-06-30,27.80,72.20,0.00,195.14
2019-12-31,24.69,75.31,0.00,134.23
2019-06-30,29.60,70.40,0.00,87.59
2018-12-31,21.44,78.56,1.33,36.07
2018-06-30,14.59,85.41,0.00,19.77
2017-12-31,15.97,84.03,0.00,7.30
2017-06-30,33.67,66.33,0.00,2.66
2016-12-31,22.34,77.66,0.00,1.42
2016-08-01,3.50,96.50,0.00,4.29
