date,open,high,low,close,volume,amount
2026-05-28,9.21,9.21,8.97,9.21,233786896.0,2141987840.0
2026-05-27,7.86,8.37,7.71,8.37,128392736.0,1056065408.0
2026-05-26,7.27,7.61,7.17,7.61,203075850.0,1519287424.0
2026-05-25,6.29,6.92,6.27,6.92,141526027.0,950619584.0
2026-05-22,6.19,6.34,6.02,6.29,127372400.0,793179968.0
2026-05-21,6.31,6.68,6.17,6.19,170438317.0,1085709824.0
2026-05-20,6.9,6.92,6.36,6.43,235984654.0,1527545472.0
2026-05-19,6.8,7.23,6.65,7.0,267082499.0,1874356992.0
2026-05-18,7.21,7.48,6.88,6.98,306050300.0,2170046976.0
2026-05-15,7.58,8.4,7.2,7.62,386712852.0,2954595584.0
2026-05-14,8.86,9.06,8.0,8.0,507910780.0,4328553472.0
2026-05-13,7.46,8.47,7.46,8.47,304580406.0,2504059136.0
2026-05-12,7.72,8.0,7.1,7.7,414943725.0,3180024576.0
2026-05-11,7.42,7.93,7.26,7.8,426984529.0,3270534912.0
2026-05-08,7.8,8.21,7.44,7.51,553487552.0,4317968384.0
2026-05-07,6.77,7.61,6.72,7.61,365979660.0,2692544000.0
2026-05-06,6.6,7.0,6.58,6.92,439137858.0,2965956864.0
2026-04-30,7.08,7.17,6.55,6.59,417451472.0,2819505408.0
2026-04-29,6.95,7.63,6.55,7.1,533103923.0,3855069696.0
2026-04-28,6.33,7.02,6.27,7.02,563718653.0,3684364800.0
2026-04-27,5.64,6.38,5.22,6.38,572115118.0,3381090816.0
2026-04-24,5.53,5.8,5.43,5.8,498648570.0,2858738688.0
2026-04-23,4.85,5.27,4.85,5.27,350237920.0,1791719808.0
2026-04-22,4.6,5.05,4.52,4.79,377925216.0,1821888384.0
2026-04-21,4.59,4.86,4.41,4.65,282478727.0,1303821696.0
2026-04-20,4.49,4.59,4.47,4.58,141177418.0,642500160.0
2026-04-17,4.64,4.71,4.45,4.49,158158829.0,717196800.0
2026-04-16,4.71,4.71,4.5,4.62,179642762.0,828788032.0
2026-04-15,4.85,4.88,4.56,4.68,287652990.0,1354092416.0
2026-04-14,4.8,5.08,4.75,4.99,360759228.0,1773849984.0
2026-04-13,4.75,4.94,4.71,4.86,269201856.0,1298423936.0
2026-04-10,4.8,4.84,4.71,4.75,124776200.0,593993088.0
2026-04-09,4.91,4.92,4.74,4.8,205874277.0,991209600.0
2026-04-08,5.01,5.09,4.91,5.01,260596376.0,1302520832.0
2026-04-07,5.0,5.11,4.86,4.98,241447467.0,1210329472.0
2026-04-03,5.21,5.37,4.97,5.02,365713147.0,1873902976.0
2026-04-02,5.92,6.07,5.32,5.32,413483532.0,2315907584.0
2026-04-01,6.27,6.27,5.77,5.91,432277272.0,2572142336.0
2026-03-31,5.6,6.55,5.6,6.41,520482834.0,3137768192.0
2026-03-30,6.37,6.52,6.01,6.01,156712935.0,969472128.0
2026-03-27,6.54,7.16,6.33,6.68,501750081.0,3404731648.0
2026-03-26,6.21,6.77,5.82,6.77,596717092.0,3760289280.0
2026-03-25,5.5,6.15,5.3,6.15,462006465.0,2735127296.0
2026-03-24,5.32,5.66,4.79,5.59,464835315.0,2454197248.0
2026-03-23,5.31,5.7,4.97,5.32,504697180.0,2723876352.0
2026-03-20,5.05,5.52,5.02,5.52,550095225.0,2963074816.0
2026-03-19,4.32,5.02,4.22,5.02,506277935.0,2404802048.0
2026-03-18,4.23,4.68,4.21,4.56,464713415.0,2090252544.0
2026-03-17,4.16,4.42,3.96,4.25,381561533.0,1582038016.0
2026-03-16,4.3,4.64,4.1,4.4,513007975.0,2241747968.0
2026-03-13,4.2,4.27,3.7,4.27,371618609.0,1493775488.0
2026-03-12,3.63,3.88,3.63,3.88,181877766.0,690390848.0
2026-03-11,3.24,3.53,3.05,3.53,395559125.0,1302157312.0
2026-03-10,2.93,3.21,2.92,3.21,161891680.0,504528480.0
2026-03-09,2.8,3.1,2.8,2.92,165467225.0,487854752.0
2026-03-06,2.75,2.84,2.72,2.82,80424802.0,225241360.0
2026-03-05,2.74,2.77,2.71,2.76,75099143.0,206312416.0
2026-03-04,2.69,2.75,2.64,2.72,63797677.0,172411120.0
2026-03-03,2.7,2.78,2.67,2.72,87676695.0,238545600.0
2026-03-02,2.68,2.75,2.66,2.71,61360100.0,165957232.0
